City,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Motihari,Bihar,86.4,68.0,38.6,38.6,37.3,33.0,30.5,22.2,24.2,29.0,73.1,82.5
Jalandhar,Punjab,72.1,48.3,39.2,30.8,54.5,52.6,32.7,27.9,26.2,53.1,94.3,52.9
Fatehabad,Haryana,77.8,59.0,38.3,27.8,61.4,44.0,17.2,17.1,30.0,75.6,103.7,52.8
Vapi,Gujarat,103.0,99.8,47.1,34.6,24.1,13.2,13.4,17.8,17.7,39.5,69.6,88.7
Rupnagar,Punjab,87.9,40.1,46.5,42.6,73.0,45.1,30.3,18.5,26.8,46.6,72.8,49.4
Karnal,Haryana,64.0,35.1,44.2,44.8,60.2,48.0,17.0,24.6,29.8,63.9,94.3,52.0
Gaya,Bihar,85.4,54.5,47.2,42.6,42.0,37.3,22.7,20.1,25.0,53.6,79.3,66.4
Patiala,Punjab,69.6,47.1,42.0,40.1,51.2,50.1,26.6,17.4,26.6,60.3,91.9,53.6
Narnaul,Haryana,54.3,38.1,31.2,43.5,67.1,36.5,25.1,29.3,32.9,45.5,93.3,96.8
Baghpat,Uttar Pradesh,98.9,61.1,39.6,44.2,56.3,32.6,10.7,6.6,16.3,39.9,108.2,56.7
Dhule,Maharashtra,66.6,63.5,63.4,52.2,48.8,32.1,19.6,17.5,22.3,42.3,88.8,53.2
Nagaon,Assam,94.2,91.7,60.7,52.5,48.4,39.4,16.5,15.4,36.4,21.3,31.1,67.2
Byasanagar,Odisha,104.1,72.6,43.7,57.2,21.3,24.2,14.5,19.0,18.6,35.7,67.1,76.7
Banswara,Rajasthan,69.2,53.1,39.3,47.4,86.1,31.1,24.9,25.1,23.6,39.5,63.5,63.2
Dehradun,Uttarakhand,108.3,51.5,39.4,36.2,54.8,37.2,17.7,13.0,17.8,48.4,77.2,56.8
Bhiwandi,Maharashtra,78.5,53.0,54.7,38.9,45.1,32.9,24.1,20.2,25.0,44.7,88.2,67.4
Sirsa,Haryana,59.8,40.2,35.1,39.2,62.5,53.9,15.2,9.1,18.2,59.3,123.0,56.4
Pithampur,Madhya Pradesh,72.3,52.3,42.8,36.0,31.5,27.3,22.4,23.4,34.3,64.4,73.2,82.6
Nagpur,Maharashtra,75.8,57.6,53.0,45.0,42.4,26.8,16.1,17.6,24.8,49.9,82.2,68.2
Kashipur,Uttarakhand,81.3,51.3,45.9,43.5,51.4,40.3,24.8,29.0,23.5,48.4,66.2,51.4
Nayagarh,Odisha,75.3,69.9,66.3,90.2,44.2,38.3,15.1,17.5,18.8,21.8,37.8,55.4
Suakati,Odisha,83.0,61.9,61.1,66.5,39.7,32.5,17.0,19.5,23.7,36.8,65.4,52.5
Pimpri Chinchwad,Maharashtra,79.8,76.8,58.6,49.7,36.8,16.6,12.7,13.2,16.7,39.1,93.9,62.2
Bhubaneswar,Odisha,114.8,64.4,35.8,48.5,22.9,23.5,17.8,15.7,17.8,31.3,74.7,81.2
Rairangpur,Odisha,83.5,50.7,47.9,60.5,36.4,38.5,22.0,23.6,24.0,40.8,62.1,58.1
Kolkata,West Bengal,104.6,68.9,44.8,41.7,20.2,21.7,16.7,21.1,21.0,36.5,74.4,76.6
Visakhapatnam,Andhra Pradesh,88.2,50.6,40.7,36.9,26.3,30.4,29.5,25.8,44.6,47.1,66.7,60.3
Dausa,Rajasthan,79.9,60.2,38.3,30.5,45.0,38.8,34.5,22.8,30.3,34.8,63.9,63.9
Cuttack,Odisha,124.0,71.2,34.8,41.0,16.7,22.7,17.4,12.9,16.6,28.3,70.3,80.0
Bhilwara,Rajasthan,84.2,54.7,57.5,29.1,33.3,18.9,24.9,18.7,26.5,40.8,67.8,79.8
Kanpur,Uttar Pradesh,62.5,47.2,44.6,44.3,53.1,40.3,20.2,20.8,28.4,57.2,73.8,50.9
Ujjain,Madhya Pradesh,80.2,45.5,37.8,34.5,33.3,41.0,23.3,18.6,30.4,62.2,80.8,48.9
Aurangabad,Maharashtra,81.6,65.9,52.8,46.8,52.9,31.4,16.0,18.7,22.0,35.2,61.9,54.3
Bundi,Rajasthan,100.1,57.2,32.4,25.8,31.6,26.0,24.8,21.3,24.2,43.3,71.8,80.2
Mahad,Maharashtra,56.5,57.4,56.5,53.7,44.5,23.4,16.4,20.5,20.7,44.0,84.1,61.6
Bhopal,Madhya Pradesh,79.0,50.8,33.1,31.0,29.1,20.4,15.2,20.1,26.1,54.9,95.7,77.3
Dewas,Madhya Pradesh,64.4,47.5,37.0,43.0,27.2,24.9,20.8,24.2,30.9,59.8,72.7,69.6
Bihar Sharif,Bihar,45.6,55.3,46.0,37.3,36.7,42.0,17.4,11.2,18.1,27.0,90.0,99.7
Ambala,Haryana,59.5,38.1,31.3,29.9,39.1,36.5,37.5,32.6,27.8,57.9,82.1,52.3
Virar,Maharashtra,53.1,59.4,56.2,40.0,29.4,23.3,25.6,23.4,26.0,44.9,74.9,66.2
Kolhapur,Maharashtra,60.2,65.6,58.2,55.4,42.8,21.4,17.1,15.6,18.9,41.6,77.4,48.6
Ankleshwar,Gujarat,66.0,55.7,44.5,38.0,33.4,24.6,20.4,18.9,30.1,48.7,70.5,68.5
Dungarpur,Rajasthan,75.8,50.2,32.0,26.2,26.9,31.0,49.0,31.5,24.4,38.0,64.9,64.4
Kollam,Kerala,66.8,60.3,59.4,57.5,45.0,34.6,34.8,29.7,40.2,28.4,26.7,23.6
Keonjhar,Odisha,93.1,63.4,53.2,63.1,37.6,27.1,14.9,24.6,21.6,38.3,36.3,36.4
Jhalawar,Rajasthan,90.5,49.7,31.0,27.0,32.0,23.4,30.0,23.7,31.1,37.5,67.1,69.9
Chandrapur,Maharashtra,81.7,54.2,57.6,53.9,38.6,23.6,14.6,17.8,23.1,39.8,60.3,51.0
Bhayandar,Maharashtra,53.4,65.7,60.0,43.4,26.1,16.6,15.7,14.5,16.9,43.3,80.5,70.4
Baran,Rajasthan,67.7,54.5,40.9,36.3,29.8,20.4,17.4,16.5,18.8,51.3,80.2,63.7
Sawai Madhopur,Rajasthan,62.3,46.0,53.8,42.8,43.9,40.7,15.8,19.9,23.2,33.8,80.2,31.4
Jabalpur,Madhya Pradesh,74.0,46.3,47.3,37.4,35.7,30.5,17.1,13.5,19.9,48.3,73.4,52.1
Ajmer,Rajasthan,56.3,37.7,44.0,37.7,49.3,39.5,29.2,28.5,29.0,39.7,49.0,53.4
Alwar,Rajasthan,63.9,40.0,36.6,41.9,51.8,45.1,29.8,19.0,22.2,35.7,59.2,47.8
Nanded,Maharashtra,60.5,48.3,65.5,48.5,38.0,18.2,15.5,16.5,18.0,38.8,66.9,45.2
Jalore,Rajasthan,77.6,44.8,32.8,28.9,29.9,26.6,24.6,13.6,20.6,40.2,60.1,89.8
